id,group_id,table_id,weight,star,type,num,icon,name,desc
20401,10,2,1,4,4,1,0,,
20402,10,10,2,4,4,1,0,,
20403,10,18,3,4,4,1,0,,
20404,10,26,4,4,4,1,0,,
20405,10,34,5,4,4,1,0,,
20406,10,42,6,4,4,1,0,,
20407,10,50,7,4,4,1,0,,
20408,10,58,8,4,4,1,0,,
20501,11,2,1,5,4,1,0,,
20502,11,10,2,5,4,1,0,,
20503,11,18,3,5,4,1,0,,
20504,11,26,4,5,4,1,0,,
20505,11,34,5,5,4,1,0,,
20506,11,42,6,5,4,1,0,,
20507,11,50,7,5,4,1,0,,
20508,11,58,8,5,4,1,0,,
20601,12,2,1,6,4,1,0,,
20602,12,10,2,6,4,1,0,,
20603,12,18,3,6,4,1,0,,
20604,12,26,4,6,4,1,0,,
20605,12,34,5,6,4,1,0,,
20606,12,42,6,6,4,1,0,,
20607,12,50,7,6,4,1,0,,
20608,12,58,8,6,4,1,0,,
30101,13,3,1,1,4,1,0,,
30102,13,11,2,1,4,1,0,,
30103,13,19,3,1,4,1,0,,
30104,13,27,4,1,4,1,0,,
30105,13,35,5,1,4,1,0,,
30106,13,43,6,1,4,1,0,,
30107,13,51,7,1,4,1,0,,
30108,13,59,8,1,4,1,0,,
30201,14,3,1,2,4,1,0,,
30202,14,11,2,2,4,1,0,,
30203,14,19,3,2,4,1,0,,
30204,14,27,4,2,4,1,0,,
30205,14,35,5,2,4,1,0,,
30206,14,43,6,2,4,1,0,,
30207,14,51,7,2,4,1,0,,
30208,14,59,8,2,4,1,0,,
30301,15,3,1,3,4,1,0,,
30302,15,11,2,3,4,1,0,,
30303,15,19,3,3,4,1,0,,
30304,15,27,4,3,4,1,0,,
30305,15,35,5,3,4,1,0,,
30306,15,43,6,3,4,1,0,,
30307,15,51,7,3,4,1,0,,
30308,15,59,8,3,4,1,0,,
30401,16,3,1,4,4,1,0,,
30402,16,11,2,4,4,1,0,,
30403,16,19,3,4,4,1,0,,
30404,16,27,4,4,4,1,0,,
30405,16,35,5,4,4,1,0,,
30406,16,43,6,4,4,1,0,,
30407,16,51,7,4,4,1,0,,
30408,16,59,8,4,4,1,0,,
30501,17,3,1,5,4,1,0,,
30502,17,11,2,5,4,1,0,,
30503,17,19,3,5,4,1,0,,
30504,17,27,4,5,4,1,0,,
30505,17,35,5,5,4,1,0,,
30506,17,43,6,5,4,1,0,,
30507,17,51,7,5,4,1,0,,
30508,17,59,8,5,4,1,0,,
30601,18,3,1,6,4,1,0,,
30602,18,11,2,6,4,1,0,,
30603,18,19,3,6,4,1,0,,
30604,18,27,4,6,4,1,0,,
30605,18,35,5,6,4,1,0,,
30606,18,43,6,6,4,1,0,,
30607,18,51,7,6,4,1,0,,
30608,18,59,8,6,4,1,0,,
40101,19,4,1,1,4,1,0,,
40102,19,12,2,1,4,1,0,,
40103,19,20,3,1,4,1,0,,
40104,19,28,4,1,4,1,0,,
40105,19,36,5,1,4,1,0,,
40106,19,44,6,1,4,1,0,,
40107,19,52,7,1,4,1,0,,
40108,19,60,8,1,4,1,0,,
40201,20,4,1,2,4,1,0,,
40202,20,12,2,2,4,1,0,,
40203,20,20,3,2,4,1,0,,
40204,20,28,4,2,4,1,0,,
40205,20,36,5,2,4,1,0,,
40206,20,44,6,2,4,1,0,,
40207,20,52,7,2,4,1,0,,
40208,20,60,8,2,4,1,0,,
40301,21,4,1,3,4,1,0,,
40302,21,12,2,3,4,1,0,,
40303,21,20,3,3,4,1,0,,
40304,21,28,4,3,4,1,0,,
40305,21,36,5,3,4,1,0,,
40306,21,44,6,3,4,1,0,,
40307,21,52,7,3,4,1,0,,
40308,21,60,8,3,4,1,0,,
40401,22,4,1,4,4,1,0,,
40402,22,12,2,4,4,1,0,,
40403,22,20,3,4,4,1,0,,
40404,22,28,4,4,4,1,0,,
40405,22,36,5,4,4,1,0,,
40406,22,44,6,4,4,1,0,,
40407,22,52,7,4,4,1,0,,
40408,22,60,8,4,4,1,0,,
40501,23,4,1,5,4,1,0,,
40502,23,12,2,5,4,1,0,,
40503,23,20,3,5,4,1,0,,
40504,23,28,4,5,4,1,0,,
40505,23,36,5,5,4,1,0,,
40506,23,44,6,5,4,1,0,,
40507,23,52,7,5,4,1,0,,
40508,23,60,8,5,4,1,0,,
40601,24,4,1,6,4,1,0,,
40602,24,12,2,6,4,1,0,,
40603,24,20,3,6,4,1,0,,
40604,24,28,4,6,4,1,0,,
40605,24,36,5,6,4,1,0,,
40606,24,44,6,6,4,1,0,,
40607,24,52,7,6,4,1,0,,
40608,24,60,8,6,4,1,0,,
50101,25,5,1,1,4,1,0,,
50102,25,13,2,1,4,1,0,,
50103,25,21,3,1,4,1,0,,
50104,25,29,4,1,4,1,0,,
50105,25,37,5,1,4,1,0,,
50106,25,45,6,1,4,1,0,,
50107,25,53,7,1,4,1,0,,
50108,25,61,8,1,4,1,0,,
50201,26,5,1,2,4,1,0,,
50202,26,13,2,2,4,1,0,,
50203,26,21,3,2,4,1,0,,
50204,26,29,4,2,4,1,0,,
50205,26,37,5,2,4,1,0,,
50206,26,45,6,2,4,1,0,,
50207,26,53,7,2,4,1,0,,
50208,26,61,8,2,4,1,0,,
50301,27,5,1,3,4,1,0,,
50302,27,13,2,3,4,1,0,,
50303,27,21,3,3,4,1,0,,
50304,27,29,4,3,4,1,0,,
50305,27,37,5,3,4,1,0,,
50306,27,45,6,3,4,1,0,,
50307,27,53,7,3,4,1,0,,
50308,27,61,8,4,4,1,0,,
50401,28,5,1,4,4,1,0,,
50402,28,13,2,4,4,1,0,,
50403,28,21,3,4,4,1,0,,
50404,28,29,4,4,4,1,0,,
50405,28,37,5,4,4,1,0,,
50406,28,45,6,4,4,1,0,,
50407,28,53,7,4,4,1,0,,
50408,28,61,8,5,4,1,0,,
50501,29,5,1,5,4,1,0,,
50502,29,13,2,5,4,1,0,,
50503,29,21,3,5,4,1,0,,
50504,29,29,4,5,4,1,0,,
50505,29,37,5,5,4,1,0,,
50506,29,45,6,5,4,1,0,,
50507,29,53,7,5,4,1,0,,
50508,29,61,8,6,4,1,0,,
50601,30,5,1,6,4,1,0,,
50602,30,13,2,6,4,1,0,,
50603,30,21,3,6,4,1,0,,
50604,30,29,4,6,4,1,0,,
50605,30,37,5,6,4,1,0,,
50606,30,45,6,6,4,1,0,,
50607,30,53,7,6,4,1,0,,
50608,30,61,8,6,4,1,0,,
60101,31,6,1,1,4,1,0,,
60102,31,14,2,1,4,1,0,,
60103,31,22,3,1,4,1,0,,
60104,31,30,4,1,4,1,0,,
60105,31,38,5,1,4,1,0,,
60106,31,46,6,1,4,1,0,,
60107,31,54,7,1,4,1,0,,
60108,31,62,8,1,4,1,0,,
60201,32,6,1,2,4,1,0,,
60202,32,14,2,2,4,1,0,,
60203,32,22,3,2,4,1,0,,
60204,32,30,4,2,4,1,0,,
60205,32,38,5,2,4,1,0,,
60206,32,46,6,2,4,1,0,,
60207,32,54,7,2,4,1,0,,
60208,32,62,8,2,4,1,0,,
60301,33,6,1,3,4,1,0,,
60302,33,14,2,3,4,1,0,,
60303,33,22,3,3,4,1,0,,
60304,33,30,4,3,4,1,0,,
60305,33,38,5,3,4,1,0,,
60306,33,46,6,3,4,1,0,,
60307,33,54,7,3,4,1,0,,
60308,33,62,8,3,4,1,0,,
60401,34,6,1,4,4,1,0,,
60402,34,14,2,4,4,1,0,,
60403,34,22,3,4,4,1,0,,
60404,34,30,4,4,4,1,0,,
60405,34,38,5,4,4,1,0,,
60406,34,46,6,4,4,1,0,,
60407,34,54,7,4,4,1,0,,
60408,34,62,8,4,4,1,0,,
60501,35,6,1,5,4,1,0,,
60502,35,14,2,5,4,1,0,,
60503,35,22,3,5,4,1,0,,
60504,35,30,4,5,4,1,0,,
60505,35,38,5,5,4,1,0,,
60506,35,46,6,5,4,1,0,,
60507,35,54,7,5,4,1,0,,
60508,35,62,8,5,4,1,0,,
60601,36,6,1,6,4,1,0,,
60602,36,14,2,6,4,1,0,,
60603,36,22,3,6,4,1,0,,
60604,36,30,4,6,4,1,0,,
60605,36,38,5,6,4,1,0,,
60606,36,46,6,6,4,1,0,,
60607,36,54,7,6,4,1,0,,
60608,36,62,8,6,4,1,0,,
70101,37,7,1,1,4,1,0,,
70102,37,15,2,1,4,1,0,,
70103,37,23,3,1,4,1,0,,
70104,37,31,4,1,4,1,0,,
70105,37,39,5,1,4,1,0,,
70106,37,47,6,1,4,1,0,,
70107,37,55,7,1,4,1,0,,
70108,37,63,8,1,4,1,0,,
70201,38,7,1,2,4,1,0,,
70202,38,15,2,2,4,1,0,,
70203,38,23,3,2,4,1,0,,
70204,38,31,4,2,4,1,0,,
70205,38,39,5,2,4,1,0,,
70206,38,47,6,2,4,1,0,,
70207,38,55,7,2,4,1,0,,
70208,38,63,8,2,4,1,0,,
70301,39,7,1,3,4,1,0,,
70302,39,15,2,3,4,1,0,,
70303,39,23,3,3,4,1,0,,
70304,39,31,4,3,4,1,0,,
70305,39,39,5,3,4,1,0,,
70306,39,47,6,3,4,1,0,,
70307,39,55,7,3,4,1,0,,
70308,39,63,8,3,4,1,0,,
70401,40,7,1,4,4,1,0,,
70402,40,15,2,4,4,1,0,,
70403,40,23,3,4,4,1,0,,
70404,40,31,4,4,4,1,0,,
70405,40,39,5,4,4,1,0,,
70406,40,47,6,4,4,1,0,,
70407,40,55,7,4,4,1,0,,
70408,40,63,8,4,4,1,0,,
70501,41,7,1,5,4,1,0,,
70502,41,15,2,5,4,1,0,,
70503,41,23,3,5,4,1,0,,
70504,41,31,4,5,4,1,0,,
70505,41,39,5,5,4,1,0,,
70506,41,47,6,5,4,1,0,,
70507,41,55,7,5,4,1,0,,
70508,41,63,8,5,4,1,0,,
70601,42,7,1,6,4,1,0,,
70602,42,15,2,6,4,1,0,,
70603,42,23,3,6,4,1,0,,
70604,42,31,4,6,4,1,0,,
70605,42,39,5,6,4,1,0,,
70606,42,47,6,6,4,1,0,,
70607,42,55,7,6,4,1,0,,
70608,42,63,8,6,4,1,0,,
80101,43,8,1,1,4,1,0,,
80102,43,16,2,1,4,1,0,,
80103,43,24,3,1,4,1,0,,
80104,43,32,4,1,4,1,0,,
80105,43,40,5,1,4,1,0,,
80106,43,48,6,1,4,1,0,,
80107,43,56,7,1,4,1,0,,
80108,43,64,8,1,4,1,0,,
80201,44,8,1,2,4,1,0,,
80202,44,16,2,2,4,1,0,,
80203,44,24,3,2,4,1,0,,
80204,44,32,4,2,4,1,0,,
80205,44,40,5,2,4,1,0,,
80206,44,48,6,2,4,1,0,,
80207,44,56,7,2,4,1,0,,
80208,44,64,8,2,4,1,0,,
80301,45,8,1,3,4,1,0,,
80302,45,16,2,3,4,1,0,,
80303,45,24,3,3,4,1,0,,
80304,45,32,4,3,4,1,0,,
80305,45,40,5,3,4,1,0,,
80306,45,48,6,3,4,1,0,,
80307,45,56,7,3,4,1,0,,
80308,45,64,8,3,4,1,0,,
80401,46,8,1,4,4,1,0,,
80402,46,16,2,4,4,1,0,,
80403,46,24,3,4,4,1,0,,
80404,46,32,4,4,4,1,0,,
80405,46,40,5,4,4,1,0,,
80406,46,48,6,4,4,1,0,,
80407,46,56,7,4,4,1,0,,
80408,46,64,8,4,4,1,0,,
80501,47,8,1,5,4,1,0,,
80502,47,16,2,5,4,1,0,,
80503,47,24,3,5,4,1,0,,
80504,47,32,4,5,4,1,0,,
80505,47,40,5,5,4,1,0,,
80506,47,48,6,5,4,1,0,,
80507,47,56,7,5,4,1,0,,
80508,47,64,8,5,4,1,0,,
80601,48,8,1,6,4,1,0,,
80602,48,16,2,6,4,1,0,,
80603,48,24,3,6,4,1,0,,
80604,48,32,4,6,4,1,0,,
80605,48,40,5,6,4,1,0,,
80606,48,48,6,6,4,1,0,,
80607,48,56,7,6,4,1,0,,
80608,48,64,8,6,4,1,0,,
1,10001,2,2,0,1,1000,0,,
2,10001,4,3,0,1,20,0,,
3,10001,1,5,0,6,10,0,,
