ID,CD,MaxUseCount,AbilityClass,HitDamageBasics,HitDamagePec,BalanceValueConsume,LastHit,RelateSkill
1066314,0,1,3,{0},{0},{0},1,{}
1066315,0,1,3,{0},{0},{0},1,{}
1066316,0,1,3,{0},{0},{0},1,{}
1066317,0,1,3,{0},{0},{0},1,{}
1066319,0,1,3,{0},{0},{0},1,{}
1066320,0,1,3,{0},{0},{0},1,{}
1066401,0,1,3,{0},{0},{0},1,{}
1066001,0,1,0,{0},{0},{0},1,{}
1066002,0,1,0,{0},{0},{0},1,{}
1066303,0,1,0,{0},{0},{0},1,{}
1066401,0,1,0,{0},{0},{0},1,{}
1048101,0,1,1,{10},{100},{5},1,{}
1048102,0,1,1,{10},{100},{5},1,{}
1048103,0,1,1,"{10,10}","{50,50}","{5,5}",1,{}
1048104,0,1,1,"{10,10,10,10,10,10}","{50,50,50,50,50,50}","{2,2,2,2,2,2}",1,{}
1048105,0,1,1,{10},{200},{10},0,{}
1048201,10000,1,2,{10},{100},{5},0,{}
1048051,0,1,2,{10},{100},{5},1,{}
1048052,0,1,2,{10},{200},{5},1,{}
1048053,0,1,2,{10},{200},{5},1,{}
1048202,10000,1,2,{10},{100},{5},1,{}
1048054,0,1,2,{10},{100},{5},1,{}
1048055,0,1,2,{10},{200},{5},1,{}
1048203,13000,1,2,{10},{120},{5},0,{}
1048056,0,1,2,{10},{120},{5},1,{}
1048059,0,1,2,{10},{400},{5},1,{}
1048060,0,1,2,{10},{120},{5},1,{}
1048061,0,1,2,{10},{400},{5},1,{}
1048062,0,1,2,{10},{400},{5},1,{}
1048204,0,1,2,{10},{200},{10},1,{}
1048305,2000,2,2,{0},{0},{0},1,{}
1048306,2000,2,2,{0},{0},{0},1,{}
1048304,0,1,3,{0},{0},{0},1,{}
1048311,0,1,3,{0},{0},{0},1,{}
1048312,0,1,3,{0},{0},{0},1,{}
1048313,0,1,3,{0},{0},{0},1,{}
1048314,0,1,3,{0},{0},{0},1,{}
1048315,0,1,3,{0},{0},{0},1,{}
1048316,0,1,3,{0},{0},{0},1,{}
1048317,0,1,3,{0},{0},{0},1,{}
1048001,0,1,0,{0},{0},{0},1,{}
1048002,0,1,0,{0},{0},{0},1,{}
1048303,0,1,0,{0},{0},{0},1,{}
1039101,0,1,1,{10},{100},{5},1,{}
1039102,0,1,1,{10},{100},{5},1,{}
1039103,0,1,1,{10},{100},{5},1,{}
1039104,0,1,1,{10},{100},{5},1,{}
1039105,0,1,1,"{10,10}","{100,200}","{5,5}",1,{}
1039201,10000,1,2,"{10,10,10,10,10}","{50,80,100,100,150}","{1,1,2,5,5}",0,{}
1039202,10000,1,2,"{10,10,10}","{50,100,150}","{2,5,5}",0,{}
1039203,10000,1,2,"{10,10,10,10,10,10,10,10}","{50,50,50,50,80,100,100,150}","{1,1,1,1,1,1,1,1}",1,{}
1039305,2000,2,2,{0},{0},{0},1,{}
1039306,2000,2,2,{0},{0},{0},1,{}
1039304,0,1,3,{0},{0},{0},1,{}
1039311,0,1,3,{0},{0},{0},1,{}
1039312,0,1,3,{0},{0},{0},1,{}
1039313,0,1,3,{0},{0},{0},1,{}
1039314,0,1,3,{0},{0},{0},1,{}
1039315,0,1,3,{0},{0},{0},1,{}
1039316,0,1,3,{0},{0},{0},1,{}
1039317,0,1,3,{0},{0},{0},1,{}
1039319,0,1,3,{0},{0},{0},1,{}
1039320,0,1,3,{0},{0},{0},1,{}
1039001,0,1,0,{0},{0},{0},1,{}
1039002,0,1,0,{0},{0},{0},1,{}
1039303,0,1,0,{0},{0},{0},1,{}
1039401,0,1,0,{0},{0},{0},1,{}
1034101,0,1,1,{10},{100},{5},1,{}
1034102,0,1,1,{10},{100},{5},1,{}
1034103,0,1,1,{10},{100},{5},1,{}
1034104,0,1,1,{10},{200},{10},1,{}
1034201,10000,1,2,"{10,10}","{100,150}","{5,5}",0,{}
1034052,0,1,2,"{10,10,10}","{80,80,80}","{2,2,2}",1,{}
1034202,8000,1,2,{10},{100},{5},1,{}
1034051,0,1,2,"{10,10,10,10}","{80,80,80,80}","{2,2,2,2}",1,{}
1034203,12000,1,2,{10},{420},{10},1,{}
1034204,10000,1,2,{10},{120},{10},1,{}
1034305,2000,2,2,{0},{0},{0},1,{}
1034306,2000,2,2,{0},{0},{0},1,{}
1034304,0,1,3,{0},{0},{0},1,{}
1034311,0,1,3,{0},{0},{0},1,{}
1034312,0,1,3,{0},{0},{0},1,{}
1034313,0,1,3,{0},{0},{0},1,{}
1034314,0,1,3,{0},{0},{0},1,{}
1034315,0,1,3,{0},{0},{0},1,{}
1034316,0,1,3,{0},{0},{0},1,{}
1034317,0,1,3,{0},{0},{0},1,{}
1034319,0,1,3,{0},{0},{0},1,{}
1034320,0,1,3,{0},{0},{0},1,{}
1034001,0,1,0,{0},{0},{0},1,{}
1034002,0,1,0,{0},{0},{0},1,{}
1034303,0,1,0,{0},{0},{0},1,{}
1036101,0,1,1,{10},{100},{5},1,{}
1036102,0,1,1,"{10,10}","{50,50}","{10,10}",1,{}
1036103,0,1,1,{10},{100},{5},1,{}
1036104,0,1,1,"{10,10,10}","{50,50,50}","{2,2,2}",1,{}
1036105,0,1,1,{10},{200},{10},0,{}
1036201,12000,1,2,{10},{100},{10},1,{}
1036211,0,1,2,{10},{100},{10},1,{}
1036212,0,1,2,"{10,10,10,10}","{80,80,80,80}","{2,2,2,2}",1,{}
1036213,0,1,2,{10},{200},{5},1,{}
1036214,0,1,2,{10},{400},{5},1,{}
1036202,8000,1,2,{0},{0},"{10,10}",1,{}
1036056,0,1,2,{10},{100},{5},1,{}
1036057,0,1,2,{10},{100},{5},1,{}
1036058,0,1,2,{10},{100},{5},1,{}
1036203,10000,1,2,{10},{120},{5},1,{}
1036051,0,1,2,{10},{100},{5},1,{}
1036052,0,1,2,"{10,10,10}","{10,10,10}","{2,2,2}",1,{}
1036053,0,1,2,"{10,10,10}","{10,10,10}","{2,2,2}",1,{}
1036054,0,1,2,"{10,10,10}","{10,10,10}","{2,2,2}",1,{}
1036055,0,1,2,"{10,10,10}","{10,10,10}","{2,2,2}",1,{}
1036305,2000,2,2,{0},{0},{0},1,{}
1036306,2000,2,2,{0},{0},{0},1,{}
1036304,0,1,3,{0},{0},{0},1,{}
1036311,0,1,3,{0},{0},{0},1,{}
1036312,0,1,3,{0},{0},{0},1,{}
1036313,0,1,3,{0},{0},{0},1,{}
1036314,0,1,3,{0},{0},{0},1,{}
1036315,0,1,3,{0},{0},{0},1,{}
1036316,0,1,3,{0},{0},{0},1,{}
1036317,0,1,3,{0},{0},{0},1,{}
1036319,0,1,3,{0},{0},{0},1,{}
1036320,0,1,3,{0},{0},{0},1,{}
1036001,0,1,0,{0},{0},{0},1,{}
1036002,0,1,0,{0},{0},{0},1,{}
1036303,0,1,0,{0},{0},{0},1,{}
1036401,0,1,0,{0},{0},{0},1,{}
1037101,0,1,1,{10},{100},{5},1,{}
1037102,0,1,1,"{10,10}","{50,50}","{10,10}",1,{}
1037103,0,1,1,{10},{100},{5},1,{}
1037104,0,1,1,"{10,10,10}","{50,50,50}","{2,2,2}",1,{}
1037105,0,1,1,{10},{200},{10},0,{}
1037201,12000,1,2,{10},{100},{10},1,{}
1037212,0,1,2,"{10,10,10,10}","{80,80,80,80}",{10},1,{}
1037213,0,1,2,{10},{200},"{2,2,2,2}",1,{}
1037214,0,1,2,{10},{400},{5},1,{}
1037202,8000,1,2,{0},{0},{5},1,{}
1037056,0,1,2,{10},{100},"{10,10}",1,{}
1037057,0,1,2,{10},{100},{5},1,{}
1037058,0,1,2,{10},{100},{5},1,{}
1037203,10000,1,2,"{10,10,10,10}","{50,50,50,50}",{5},1,{}
1037051,0,1,2,{10},{100},{5},1,{}
1037052,0,1,2,"{10,10,10}","{10,10,10}",{5},1,{}
1037053,0,1,2,"{10,10,10}","{10,10,10}","{2,2,2}",1,{}
1037054,0,1,2,"{10,10,10}","{10,10,10}","{2,2,2}",1,{}
1037055,0,1,2,"{10,10,10}","{10,10,10}","{2,2,2}",1,{}
1037305,2000,2,2,{0},{0},"{2,2,2}",1,{}
1037306,2000,2,2,{0},{0},{0},1,{}
1037304,0,1,3,{0},{0},{0},1,{}
1037311,0,1,3,{0},{0},{0},1,{}
1037312,0,1,3,{0},{0},{0},1,{}
1037313,0,1,3,{0},{0},{0},1,{}
1037314,0,1,3,{0},{0},{0},1,{}
1037315,0,1,3,{0},{0},{0},1,{}
1037316,0,1,3,{0},{0},{0},1,{}
1037317,0,1,3,{0},{0},{0},1,{}
1037319,0,1,3,{0},{0},{0},1,{}
1037320,0,1,3,{0},{0},{0},1,{}
1037001,0,1,0,{0},{0},{0},1,{}
1037002,0,1,0,{0},{0},{0},1,{}
1037303,0,1,0,{0},{0},{0},1,{}
1037401,0,1,0,{0},{0},{0},1,{}
1028101,0,1,1,{10},{100},{5},1,{}
1028102,0,1,1,"{10,10}","{100,100}","{3,3}",1,{}
1028103,0,1,1,{10},{250},{10},0,{}
1028201,10000,1,2,"{10,10,10,10,10,10,10}","{50,50,50,50,80,100,150}","{1,1,1,1,1,1,2}",0,{}
1028202,15000,1,2,{10},{250},{5},1,{}
1028203,15000,1,2,{10},{120},{5},0,{}
1028231,0,1,2,{10},{120},{5},0,{}
1028232,0,1,2,"{10,10}","{60,60}","{5,5}",0,{}
1028233,0,1,2,{10},{220},{5},0,{}
1028234,0,1,2,"{10,10}","{200,200}","{5,5}",0,{}
1028305,2000,2,2,{0},{0},{0},1,{}
1028306,2000,2,2,{0},{0},{0},1,{}
1028304,0,1,3,{0},{0},{0},1,{}
1028311,0,1,3,{0},{0},{0},1,{}
1028312,0,1,3,{0},{0},{0},1,{}
1028313,0,1,3,{0},{0},{0},1,{}
1028314,0,1,3,{0},{0},{0},1,{}
1028315,0,1,3,{0},{0},{0},1,{}
1028316,0,1,3,{0},{0},{0},1,{}
1028317,0,1,3,{0},{0},{0},1,{}
1028319,0,1,3,{0},{0},{0},1,{}
1028320,0,1,3,{0},{0},{0},1,{}
1028001,0,1,0,{0},{0},{0},1,{}
1028002,0,1,0,{0},{0},{0},1,{}
1028303,0,1,0,{0},{0},{0},1,{}
1028401,0,1,0,{0},{0},{0},1,{}
1019101,0,1,1,{10},{100},{5},1,{}
1019102,0,1,1,{10},{100},{5},1,{}
1019103,0,1,1,{10},{100},{5},1,{}
1019104,0,1,1,{10},{100},{5},1,{}
1019105,0,1,1,{10},{100},{5},1,{}
1019106,0,1,1,{10},{200},{10},1,{}
1019201,10000,1,2,"{10,10,10,10,10}","{50,50,80,100,150}","{1,1,1,1,2}",0,{}
1019202,8000,1,2,"{10,10,10,10,10}","{50,50,80,100,150}","{1,1,1,1,2}",0,{}
1019051,0,1,2,"{10,10,10,10,10}","{80,80,80,80,80}","{1,1,1,1,2}",1,{}
1019203,15000,1,2,"{10,10}","{150,500}","{5,5}",0,{}
1019204,10000,1,2,{10},{120},{10},1,{}
1019305,2000,2,2,{0},{0},{0},1,{}
1019306,2000,2,2,{0},{0},{0},1,{}
1019304,0,1,3,{0},{0},{0},1,{}
1019311,0,1,3,{0},{0},{0},1,{}
1019312,0,1,3,{0},{0},{0},1,{}
1019313,0,1,3,{0},{0},{0},1,{}
1019314,0,1,3,{0},{0},{0},1,{}
1019315,0,1,3,{0},{0},{0},1,{}
1019316,0,1,3,{0},{0},{0},1,{}
1019317,0,1,3,{0},{0},{0},1,{}
1019319,0,1,3,{0},{0},{0},1,{}
1019001,0,1,0,{0},{0},{0},1,{}
1019002,0,1,0,{0},{0},{0},1,{}
1019303,0,1,0,{0},{0},{0},1,{}
1011101,0,1,1,{10},{100},{5},1,{}
1011102,0,1,1,{10},{100},{5},1,{}
1011103,0,1,1,{10},{100},{5},1,{}
1011104,0,1,1,"{10,10,10,10,10}","{50,50,80,100,150}","{2,2,2,2,2}",1,{}
1011051,0,1,2,{10},{100},{5},1,{}
1011052,0,1,2,{10},{100},{5},1,{}
1011053,0,1,2,{10},{100},{5},1,{}
1011201,10000,1,2,"{10,10,10,10,10,10,10,10,10,10,10,10,10}","{50,50,50,50,50,50,80,80,80,100,100,100,150}","{1,1,1,1,1,1,1,1,1,1,1,1,1}",1,{}
1011202,12000,1,2,"{10,10}","{150,150}","{5,5}",1,{}
1011222,10000,1,2,"{10,10}","{150,150}","{5,5}",1,{}
1011055,0,1,2,"{10,10}","{80,80}","{5,5}",1,{}
1011203,10000,1,2,"{10,10,10}","{150,150,200}","{5,5,5}",0,{}
1011054,0,1,2,{10},{100},{5},1,{}
1011056,0,1,2,{10},{300},{5},1,{}
1011204,10000,1,2,{10},{120},{5},1,{}
1011305,2000,2,2,{0},{0},{0},1,{}
1011306,2000,2,2,{0},{0},{0},1,{}
1011304,0,1,3,{0},{0},{0},1,{}
1011311,0,1,3,{0},{0},{0},1,{}
1011312,0,1,3,{0},{0},{0},1,{}
1011313,0,1,3,{0},{0},{0},1,{}
1011314,0,1,3,{0},{0},{0},1,{}
1011315,0,1,3,{0},{0},{0},1,{}
1011316,0,1,3,{0},{0},{0},1,{}
1011317,0,1,3,{0},{0},{0},1,{}
1011319,0,1,3,{0},{0},{0},1,{}
1011001,0,1,0,{0},{0},{0},1,{}
1011002,0,1,0,{0},{0},{0},1,{}
1011303,0,1,0,{0},{0},{0},1,{}
1011401,0,1,0,{0},{0},{0},1,{}
1012101,0,1,1,{10},{100},{5},1,{}
1012102,0,1,1,{10},{100},{5},1,{}
1012103,0,1,1,"{10,10}","{100,100}","{2,2}",1,{}
1012104,0,1,1,"{10,10,10,10}","{50,80,100,150}","{2,2,2,2}",1,{}
1012105,0,1,1,"{10,11}","{100,151}","{5,5}",1,{}
1012051,0,1,2,{0},{0},{0},1,{}
1012052,0,1,2,{0},{0},{0},1,{}
1012053,0,1,2,{0},{0},{0},1,{}
1012201,14000,1,2,"{10,10,10}","{50,50,50}","{2,2,2}",0,{}
1012202,12000,1,2,"{10,10}","{100,100}","{2,2}",1,{}
1012203,10000,1,2,"{10,10,10}","{50,50,50}","{2,2,2}",0,{}
1012054,0,1,2,"{10,10,10,10,10,10,10,10,10,10,10,10,10,10}","{50,50,50,50,50,50,50,50,50,50,50,50,50,50}","{1,1,1,1,1,1,1,1,1,1,1,1,1,1}",1,{}
1012204,10000,1,2,{10},{120},{5},1,{}
1012305,2000,2,2,{0},{0},{0},1,{}
1012306,2000,2,2,{0},{0},{0},1,{}
1012304,0,1,3,{0},{0},{0},1,{}
1012311,0,1,3,{0},{0},{0},1,{}
1012312,0,1,3,{0},{0},{0},1,{}
1012313,0,1,3,{0},{0},{0},1,{}
1012314,0,1,3,{0},{0},{0},1,{}
1012315,0,1,3,{0},{0},{0},1,{}
1012316,0,1,3,{0},{0},{0},1,{}
1012317,0,1,3,{0},{0},{0},1,{}
1012318,0,1,3,{0},{0},{0},1,{}
1012319,0,1,3,{0},{0},{0},1,{}
1012001,0,1,0,{0},{0},{0},1,{}
1012002,0,1,0,{0},{0},{0},1,{}
1012303,0,1,0,{0},{0},{0},1,{}
1012055,0,1,0,{0},{0},{0},1,{}
1012056,0,1,0,{0},{0},{0},1,{}
1012057,0,1,0,{0},{0},{0},1,{}
1012058,0,1,0,{0},{0},{0},1,{}
1012059,0,1,0,{0},{0},{0},1,{}
1012060,0,1,0,{0},{0},{0},1,{}
1012061,0,1,0,{0},{0},{0},1,{}
1012062,0,1,0,{10},{50},{2},1,{}
1012063,0,1,0,{10},{100},{2},1,{}
1012064,0,1,0,{10},{100},{2},1,{}
1012065,0,1,0,{10},{100},{2},1,{}
1012066,0,1,0,{10},{100},{2},1,{}
1012067,0,1,0,"{10,10,10}","{50,50,50}","{2,2,2}",1,{}
1012068,0,1,0,{0},{0},{0},1,{}
1012069,0,1,0,{0},{0},{0},1,{}
1042101,0,1,0,{10},{100},{2},0,{}
1042102,0,1,0,{10},{100},{2},0,{}
1042103,0,1,0,{10},{100},{2},0,{}
1042104,0,1,0,{10},{100},{2},0,{}
1042105,0,1,0,{10},{100},{2},0,{}
1042305,2000,2,2,{0},{0},{0},0,{}
1042306,2000,2,2,{0},{0},{0},0,{}
1042304,0,1,3,{0},{0},{0},0,{}
1042311,0,1,3,{0},{0},{0},0,{}
1042320,0,1,3,{0},{0},{0},0,{}
1042001,0,1,0,{0},{0},{0},0,{}
1042002,0,1,0,{0},{0},{0},0,{}
1042303,0,1,0,{0},{0},{0},0,{}
1042051,0,1,0,{0},{0},{0},0,{}
6046101,0,1,0,{10},{100},{0},0,{}
6046102,0,1,0,{10},{100},{0},0,{}
6046103,0,1,0,{10},{100},{0},0,{}
6046104,0,1,0,{10},{100},{0},0,{}
6046105,0,1,0,{10},{100},{0},0,{}
6046001,0,1,0,{0},{0},{0},0,{}
6046002,0,1,0,{0},{0},{0},0,{}
6046303,0,1,0,{0},{0},{0},0,{}
6045101,0,1,0,{10},{100},{0},0,{}
6045102,0,1,0,{10},{100},{0},0,{}
6045103,0,1,0,{10},{100},{0},0,{}
6045104,0,1,0,{10},{100},{0},0,{}
6045105,0,1,0,{10},{100},{0},0,{}
6045001,0,1,0,{0},{0},{0},0,{}
6045002,0,1,0,{0},{0},{0},0,{}
6045303,0,1,0,{0},{0},{0},0,{}
1038101,0,1,1,{0},{0},{0},1,{}
1038102,0,1,1,{0},{0},{0},1,{}
1038103,0,1,1,{0},{0},{0},1,{}
1038104,0,1,1,{0},{0},{0},1,{}
1038201,0,1,2,{0},{0},{0},1,{}
1038202,0,1,2,{0},{0},{0},1,{}
1038203,0,1,2,{0},{0},{0},1,{}
1038001,0,1,2,{0},{0},{0},1,{}
1038002,0,1,2,{0},{0},{0},1,{}
1038051,0,1,2,{0},{0},{0},1,{}
1038052,0,1,2,{0},{0},{0},1,{}
6047101,0,1,1,{0},{0},{0},1,{}
6047102,0,1,1,{0},{0},{0},1,{}
6047103,0,1,1,{0},{0},{0},1,{}
6047104,0,1,1,{0},{0},{0},1,{}
6047201,0,1,2,{0},{0},{0},1,{}
6047202,0,1,2,{0},{0},{0},1,{}
6047203,0,1,2,{0},{0},{0},1,{}
6047001,0,1,2,{0},{0},{0},1,{}
6047002,0,1,2,{0},{0},{0},1,{}
1080101,0,1,1,{0},{0},{0},1,{}
1080102,0,1,1,{0},{0},{0},1,{}
1080103,0,1,1,{0},{0},{0},1,{}
1080104,0,1,1,{0},{0},{0},1,{}
1080105,0,1,1,{0},{0},{0},1,{}
1080201,0,1,2,{0},{0},{0},1,{}
1080202,0,1,2,{0},{0},{0},1,{}
1080203,0,1,2,{0},{0},{0},1,{}
1080001,0,1,2,{0},{0},{0},1,{}
1080002,0,1,2,{0},{0},{0},1,{}
1099101,0,1,1,{10},{100},{5},1,{}
1099102,0,1,1,{10},{100},{5},1,{}
1099103,0,1,1,{10},{100},{5},1,{}
1099104,0,1,1,{10},{100},{5},1,{}
1099105,0,1,1,{10},{200},{10},1,{}
1099201,0,1,2,"{10,10,10,10}","{100,100,100,100}",{5},1,{1099051}
1099202,0,1,2,{10},{100},{0},1,{1099222}
1099222,0,1,2,"{10,10,10,10}","{100,100,100,150}",{0},1,{}
1099203,0,1,2,{10},{120},{10},1,"{1099232,1099233,1099234,1099052,1099053,1099054}"
1099232,0,1,2,{10},{100},{0},1,{}
1099233,0,1,2,{10},{100},{0},1,{}
1099234,0,1,2,{10},{100},{0},1,{}
1099303,0,1,0,{0},{0},{0},1,{}
1099304,0,1,3,{0},{0},{0},1,{}
1099305,2000,2,2,{0},{0},{0},1,{}
1099306,2000,2,2,{0},{0},{0},1,{}
1099311,0,1,3,{0},{0},{0},1,{}
1099312,0,1,3,{0},{0},{0},1,{}
1099313,0,1,3,{0},{0},{0},1,{}
1099314,0,1,3,{0},{0},{0},1,{}
1099315,0,1,3,{0},{0},{0},1,{}
1099316,0,1,3,{0},{0},{0},1,{}
1099317,0,1,3,{0},{0},{0},1,{}
1099319,0,1,3,{0},{0},{0},1,{}
1099320,0,1,3,{0},{0},{0},1,{}
1099401,0,1,3,{0},{0},{0},1,{}
1099001,0,1,0,{0},{0},{0},1,{}
1099002,0,1,0,{0},{0},{0},1,{}
1099051,0,1,2,{10},{100},{5},1,{}
1099052,0,1,2,{10},{100},{5},1,{}
1099053,0,1,2,{10},{100},{5},1,{}
1099054,0,1,2,{10},{100},{5},1,{}
1099055,0,1,2,{10},{100},{5},1,{}
2017101,0,1,1,{10},{20},{10},0,{}
2017201,0,1,2,{10},{100},{10},0,{}
2017304,0,1,3,{0},{0},{0},0,{}
2017311,0,1,3,{0},{0},{0},0,{}
2017312,0,1,3,{0},{0},{0},0,{}
2017313,0,1,3,{0},{0},{0},0,{}
2017314,0,1,3,{0},{0},{0},0,{}
2017315,0,1,3,{0},{0},{0},0,{}
2017316,0,1,3,{0},{0},{0},0,{}
2017317,0,1,3,{0},{0},{0},0,{}
2017320,0,1,3,{0},{0},{0},0,{}
2017350,0,1,3,{0},{0},{0},0,{}
2017351,0,1,3,{0},{0},{0},0,{}
2017411,0,1,0,{0},{0},{0},0,{}
