goods_id,position,level_limit,pre_goods_id,cost,give,num,weight,limit_num,refresh_cycle,taken_down,shop_id,name,icon_name,atlas_name,desc,countdown,open_time,close_time,board
16,1,0,{},"{1,1,0,2}","{{4,1,1,1}}",1,5,2,0,0,2,弥弥尔,icon_equip_10001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
17,2,0,{},"{1,1,0,3}","{{4,2,1,1}}",1,11,3,0,0,2,无辜果实,icon_equip_20001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
18,3,0,{},"{1,1,0,4}","{{4,2,1,1}}",1,5,4,0,0,2,无辜果实,icon_equip_20001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
19,4,0,{},"{1,2,0,5}","{{4,3,1,1}}",1,3,5,0,0,2,神巫之祝,icon_equip_30001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
20,5,0,{},"{1,2,0,6}","{{4,4,1,1}}",1,3,6,0,0,2,粉色蝴蝶结,icon_equip_40001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
21,6,0,{},"{1,2,0,7}","{{3,1066,0,1}}",1,5,7,0,0,2,大国主碎片,1066,HeadIconAtlas,购买可以获得大国主碎片。,0,{},{},comm_board_goods_orange_01
22,7,0,{},"{1,2,0,8}","{{3,1037,0,1}}",1,5,8,0,0,2,霍德尔碎片,1037,HeadIconAtlas,购买可以获得霍德尔碎片。,0,{},{},comm_board_goods_orange_01
23,8,0,{},"{1,2,0,9}","{{3,1048,0,2}}",2,1,9,0,0,2,须佐之男碎片,1048,HeadIconAtlas,购买可以获得须佐之男碎片。,0,{},{},comm_board_goods_orange_01
24,8,0,{},"{1,2,0,10}","{{3,1046,0,2}}",2,1,10,0,0,2,天照碎片,1046,HeadIconAtlas,购买可以获得天照碎片。,0,{},{},comm_board_goods_orange_01
25,8,0,{},"{1,2,0,11}","{{3,1028,0,3}}",3,3,11,0,0,2,托尔碎片,1028,HeadIconAtlas,购买可以获得托尔碎片。,0,{},{},comm_board_goods_orange_01
26,8,0,{},"{1,2,0,12}","{{3,1039,0,3}}",3,5,12,0,1,2,波塞冬碎片,1039,HeadIconAtlas,购买可以获得波塞冬碎片。,0,{},{},comm_board_goods_orange_01
27,8,0,{},"{1,2,0,13}","{{4,5,1,1}}",1,11,13,0,1,2,景华之簪,icon_equip_50001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
28,8,0,{},"{1,2,0,14}","{{4,6,1,1}}",1,11,14,0,1,2,冬日软帽,icon_equip_60001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
29,1,0,{},"{1,10,0,60}","{{1,1,0,60}}",1,1,-1,,0,4,几颗虹晶,icon_diamond,CurrencyAtlas,购买可以获得60虹晶。,0,{},{},comm_board_goods_orange_01
30,2,0,{},"{1,10,0,300}","{{1,1,0,300}}",1,1,-1,,0,4,一小袋虹晶,icon_diamond,CurrencyAtlas,购买可以获得300虹晶。,0,{},{},comm_board_goods_orange_01
31,3,0,{},"{1,10,0,1280}","{{1,1,0,1280}}",1,1,-1,,0,4,一大袋虹晶,icon_diamond,CurrencyAtlas,购买可以获得1280虹晶。,0,{},{},comm_board_goods_orange_01
32,4,0,{},"{1,10,0,3280}","{{1,1,0,3280}}",1,1,-1,,0,4,一盒虹晶,icon_diamond,CurrencyAtlas,购买可以获得3280虹晶。,0,{},{},comm_board_goods_orange_01
33,5,0,{},"{1,10,0,6480}","{{1,1,0,6480}}",1,1,-1,,0,4,一箱虹晶,icon_diamond,CurrencyAtlas,购买可以获得6480虹晶。,0,{},{},comm_board_goods_orange_01
34,2,0,{},"{1,10,0,60}","{{1,5,0,3},{1,4,0,100},{1,2,0,500}}",1,1,1,1,0,5,新人礼包,icon_rmb,CurrencyAtlas,购买可以获得新人礼包。,0,{},{},comm_board_goods_orange_01
35,3,10,{},"{1,10,0,60}","{{1,1,0,60},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,10级礼包,icon_rmb,CurrencyAtlas,购买可以获得10级礼包。,0,{},{},comm_board_goods_orange_01
36,4,10,{},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,10级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得10级免费礼包。,0,{},{},comm_board_goods_orange_01
37,3,20,{35},"{1,10,0,180}","{{1,1,0,180},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,20级礼包,icon_rmb,CurrencyAtlas,购买可以获得20级礼包。,0,{},{},comm_board_goods_orange_01
38,4,20,{36},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,20级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得20级免费礼包。,0,{},{},comm_board_goods_orange_01
39,3,30,{37},"{1,10,0,300}","{{1,1,0,300},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,30级礼包,icon_rmb,CurrencyAtlas,购买可以获得30级礼包。,0,{},{},comm_board_goods_orange_01
40,4,30,{38},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,30级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得30级免费礼包。,0,{},{},comm_board_goods_orange_01
41,3,40,{39},"{1,10,0,600}","{{1,1,0,600},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,40级礼包,icon_rmb,CurrencyAtlas,购买可以获得40级礼包。,0,{},{},comm_board_goods_orange_01
42,4,40,{40},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,40级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得40级免费礼包。,0,{},{},comm_board_goods_orange_01
43,3,50,{41},"{1,10,0,1280}","{{1,1,0,1280},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,50级礼包,icon_rmb,CurrencyAtlas,购买可以获得50级礼包。,0,{},{},comm_board_goods_orange_01
44,4,50,{42},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,50级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得50级免费礼包。,0,{},{},comm_board_goods_orange_01
45,3,60,{43},"{1,10,0,1980}","{{1,1,0,1980},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,60级礼包,icon_rmb,CurrencyAtlas,购买可以获得60级礼包。,0,{},{},comm_board_goods_orange_01
46,4,60,{44},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,60级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得60级免费礼包。,0,{},{},comm_board_goods_orange_01
47,3,70,{45},"{1,10,0,2580}","{{1,1,0,2580},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,70级礼包,icon_rmb,CurrencyAtlas,购买可以获得70级礼包。,0,{},{},comm_board_goods_orange_01
48,4,70,{46},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,70级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得70级免费礼包。,0,{},{},comm_board_goods_orange_01
49,3,80,{47},"{1,10,0,3280}","{{1,1,0,3280},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,80级礼包,icon_rmb,CurrencyAtlas,购买可以获得80级礼包。,0,{},{},comm_board_goods_orange_01
50,4,80,{48},"{1,10,0,0}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,80级免费礼包,icon_rmb,CurrencyAtlas,购买可以获得80级免费礼包。,0,{},{},comm_board_goods_orange_01
51,7,0,{},"{1,10,0,3280}","{{1,1,0,3280},{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,3,0,5,每周礼包,icon_rmb,CurrencyAtlas,购买可以获得每周礼包。,1,{},{},comm_board_goods_orange_01
52,5,0,{},"{1,10,0,300}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,4,0,5,每日礼包,icon_rmb,CurrencyAtlas,购买可以获得每日礼包。,1,{},{},comm_board_goods_orange_01
53,9,0,{},"{1,10,0,300}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,2,2,0,5,每月礼包,icon_rmb,CurrencyAtlas,购买可以获得每月礼包。,0,{},{},comm_board_goods_orange_01
54,11,0,{},"{1,10,0,300}","{{1,2,0,200},{1,4,0,50},{6,2,0,5},{6,5,0,5}}",1,1,1,1,0,5,活动礼包,icon_rmb,CurrencyAtlas,购买可以获得活动礼包。,1,"{{2018,11,2},{00,00,00}}","{{2019,11,2},{00,00,00}}",comm_board_goods_orange_01
