ID,AdditionalRoleIDs,RoleCategory,ShapePartTypes,Radius,CameraDistance,CameraHeight,CameraLookAtHeight,DeathTime,ModelPath,ModelName,Melees,Ability,RageAbility,AvoidAbility,BaseHP,BaseAttack,BaseDefend,GrowHPByLevel,GrowAttackByLevel,GrowDefendByLevel,GrowHPByStar,GrowAttackByStar,UseRunMoveCurve,Speed,GrowDefendByStar,RoleType,HitRecoverID,HitBackRecoverID,HitAirID,HitUpID,HitDownID,HitFloorID,GetUpID,HitUpAirID,Run,Idle,Weight,RunLeft,RunRight,Death,NoAnimationDeath,AirDeath,Appear,MovementStop,CanHitBack,CanHitUp,RushID,RushStopID,RushSpeed,HitBackValidTime,BalanceValue
1039,{},1,{0},{400},7500,3500,2200,2,Char/1039_tpose,1039_tpose,"{1039101,1039102,1039103,1039104,1039105}","{1039201,1039202,1039203}",{},"{1039305,1039306}",1000,10,10,100,3,3,100,1,0,6000,1,1,"{1039311,1039320}",1039311,1039312,1039314,1039313,1039317,1039315,1039319,1039002,1039001,120,1039002,1039002,1039304,1039316,1039316,1039401,1039303,1,1,1039002,1039303,10000,"{600,330}",100
1042,"{6045,6046}",1,{0},{400},7500,3500,2200,2,Char/1042_tpose,1042_tpose,"{1042101,1042102,1042103,1042104,1042105}","{1042101,1042102,1042103}",{},"{1042305,1042306}",1000,10,10,100,3,3,100,1,0,6000,1,1,"{1042311,1042320}",1042320,1042101,1042101,1042101,1042101,1042101,1042101,1042002,1042001,120,1042002,1042002,1042304,1042304,1042304,1042101,1042303,1,1,1042101,1042101,10000,"{600,600}",100
1045,{},1,{0},{550},9000,3500,2500,2,Char/1045_tpose,1045_tpose,"{1045101,1045102,1045103,1045104,1045105}","{1045201,1045202,1045203}",{},"{1045305,1045306}",1000,10,10,100,3,3,100,1,1,9000,1,1,"{1045311,1045320}",1045320,1045312,1045314,1045313,1045317,1045315,1045319,1045002,1045001,120,1045002,1045002,1045304,1045316,1045316,1045101,1045303,1,1,1045307,1045310,120,"{434,396}",100
1046,"{1045,6044}",1,{0},{400},7500,3500,2200,2,Char/1046_tpose,1046_tpose,"{1046101,1046102,1046103,1046104,1046105}","{1046201,1046202,1046203,1046212}",{},"{1046305,1046306}",1000,10,10,100,3,3,100,1,1,7000,1,1,"{1046311,1046320}",1046320,1046312,1046314,1046313,1046317,1046315,1046319,1046002,1046001,120,1046002,1046002,1046304,1046316,1046316,1046401,1046303,1,1,1046002,1046303,10000,"{99,66}",100
1048,{},1,{0},{400},7500,3500,2200,2,Char/1048_tpose,1048_tpose,"{1048101,1048102,1048103,1048104,1048105}","{1048201,1048202,1048203,1048204}",{},"{1048305,1048306}",1000,10,10,100,3,3,100,1,0,6000,1,1,"{1048311,1048311}",1048311,1048312,1048314,1048313,1048317,1048315,1048319,1048002,1048001,120,1048002,1048002,1048304,1048316,1048316,1048101,1048303,1,1,1048002,1048303,10000,"{467,467}",100
1050,{},1,{0},{400},7500,3500,2200,2,Char/1050_tpose,1050_tpose,"{1050101,1050102,1050103,1050104,1050105}","{1050201,1050202,1050203}",{},"{1050305,1050306}",1000,10,10,100,3,3,100,1,1,9000,1,1,"{1050311,1050320}",1050320,1050312,1050314,1050313,1050317,1050315,1050319,1050002,1050001,120,1050002,1050002,1050304,1050316,1050316,1050401,1050303,1,1,1050002,1050303,10000,"{198,231}",100
1066,{},1,{0},{400},7500,3500,2200,2,Char/1066_tpose,1066_tpose,"{1066101,1066102,1066103,1066104}","{1066201,1066202,1066203}",{},"{1066305,1066306}",1000,10,10,1000,10,0,100,1,0,5000,1,1,"{1066311,1066320}",1066320,1066312,1066314,1066313,1066317,1066315,1066319,1066002,1066001,120,1066002,1066002,1066304,1066316,1066316,1066401,1066303,1,1,1066002,1066303,10000,"{99,165}",100
1080,{},1,{0},{400},8500,3700,2200,2,Char/1080_tpose,1080_tpose,"{1080101,1080102,1080103,1080104,1080105}","{1080201,1080202,1080203}",{},{1080201},1000,10,10,100,3,3,100,1,0,6000,1,1,"{1080201,1080201}",1080201,1080201,1080201,1080201,1080201,1080201,1080201,1080002,1080001,120,1080201,1080201,1080201,1080201,1080201,1080201,1080001,1,1,1080002,1080001,10000,"{600,600}",100
1099,{},1,{0},{400},7500,3500,2200,2,Char/1099_tpose,1099_tpose,"{1099101,1099102,1099103,1099104,1099105}","{1099201,1099202,1099203}",{},"{1099305,1099306}",1000,10,10,100,3,3,100,1,1,9000,1,1,"{1099311,1099320}",1099320,1099312,1099314,1099313,1099317,1099315,1099319,1099002,1099001,120,1099002,1099002,1099304,1099316,1099316,1099001,1099001,1,1,1099002,1099303,10000,"{198,231}",100
2016,{},2,{0},{500},7000,2700,1000,0,Char/2016_tpose,2016_tpose,{2016101},{2016201},{},{},500,15,0,500,15,0,100,1,0,3000,1,2,"{2016311,2016311}",2016311,2016312,2016314,2016313,2016317,2016315,2016319,2016002,2016001,120,2016002,2016002,2016304,2016304,2016316,2016101,0,1,1,2016002,2016310,10000,"{10000,10000}",100
2017,{},2,{0},{500},7000,2700,1000,1,Char/2017_tpose,2017_tpose,{2017101},{},{2017411},{},500,15,0,500,15,0,100,1,1,3000,1,2,"{2017311,2017320}",2017320,2017312,2017314,2017313,2017317,2017315,2017319,2017002,2017001,120,2017350,2017351,2017201,2017201,2017316,2017411,0,1,1,2017002,2017310,10000,"{267,267}",100
2018,"{2021,2022}",3,{0},{500},7000,2700,1000,0,Char/2018_tpose,2018_tpose,{2018101},{2018201},{},{},500,15,0,500,15,0,100,1,0,4000,1,2,"{2018311,2018320}",2018311,2018311,2018311,2018311,2018001,2018001,2018001,2018002,2018001,120,2018002,2018002,2018304,2018323,2018323,2018001,0,1,0,2018002,2018310,10000,"{363,330}",100
2019,{},3,{0},{500},7000,2700,1000,0,Char/2019_tpose,2019_tpose,{2019101},"{2019201,2019202}",{},{},500,15,0,500,15,0,100,1,0,4500,1,2,"{2019311,2019320}",2019320,2019311,2019311,2019311,2019001,2019001,2019001,2019002,2019001,120,2019002,2019002,2019304,2019323,2019323,2019401,0,1,0,2019002,2019310,10000,"{330,363}",100
2020,{},1,{0},{500},7000,2700,1000,0,Char/2020_tpose,2020_tpose,{2020101},"{2020201,2020202}",{2020101},{},500,15,0,500,15,0,100,1,1,5000,1,2,"{2020311,2020320}",2020325,2020312,2020314,2020313,2020317,2020315,2020319,2020002,2020001,60,2020350,2020351,2020304,2020323,2020324,2020406,0,1,1,2020002,2020310,10000,"{132,132}",100
2021,{},3,{0},{500},7000,2700,1000,0,Char/2021_tpose,2021_tpose,{2021101},{2021211},{},{},500,15,0,500,15,0,100,1,0,4500,1,2,"{2021311,2021320}",2021320,2021311,2021311,2021311,2021001,2021001,2021001,2021002,2021001,120,2021002,2021002,2021304,2021323,2021323,2021401,0,1,0,2021002,2021310,10000,"{264,264}",100
2022,{},3,{0},{500},7000,2700,1000,0,Char/2022_tpose,2022_tpose,{2022101},{2022201},{2022101},{},500,15,0,500,15,0,100,1,0,4500,1,2,"{2022311,2022320}",2022320,2022311,2022311,2022311,2022001,2022001,2022001,2022002,2022001,120,2022002,2022002,2022304,2022323,2022323,2022401,0,1,0,2022002,2022310,10000,"{264,264}",100
2024,{},3,{0},{900},7000,2700,1000,0,Char/2024_tpose,2024_tpose,{2024101},{2024201},{},{},1000,30,0,1000,30,0,100,1,1,10000,1,2,"{2024311,2024320}",2024325,2024312,2024314,2024313,2024317,2024315,2024319,2024002,2024001,120,2024350,2024351,2024304,2024323,2024324,2024406,0,1,1,2024002,2024002,10000,"{99,99}",100
2025,{},3,{0},{750},7000,2700,1000,0,Char/2025_tpose,2025_tpose,{2025101},{2025201},{},{},1000,30,0,1000,30,0,100,1,1,2500,1,2,"{2025311,2025320}",2025320,2025312,2025314,2025313,2025317,2025315,2025319,2025002,2025001,120,2025350,2025351,2025323,2025323,2025324,2025401,0,1,1,2025002,2025002,10000,"{66,297}",100
2026,{},2,{0},{500},7000,2700,1000,0,Char/2026_tpose,2026_tpose,"{2026101,2026102,2026103}","{2026201,2026202,2026203}",{},{},500,15,0,500,15,0,100,1,1,4000,1,2,"{2026311,2026320}",2026325,2026312,2026314,2026313,2026317,2026315,2026319,2026002,2026001,120,2026350,2026351,2026304,2026323,2026324,2026406,0,1,1,2026002,2026002,10000,"{264,198}",100
2027,{},2,{0},{500},7000,2700,1000,0,Char/2027_tpose,2027_tpose,{2027101},"{2027201,2027202}",{},{},500,15,0,500,15,0,100,1,0,2500,1,2,"{2027311,2027320}",2027325,2027312,2027314,2027313,2027317,2027315,2027319,2027002,2027001,120,2027350,2027351,2027304,2027304,2027316,2027406,0,1,1,2027002,2027002,10000,"{330,330}",100
2028,{},2,{0},{900},7000,2700,1000,0,Char/2028_tpose,2028_tpose,{2028101},{2028201},{},{},500,15,0,500,15,0,100,1,1,2500,1,2,"{2028311,2028320}",2028325,2028312,2028314,2028313,2028317,2028315,2028319,2028002,2028001,120,2028350,2028351,2028323,2028323,2028323,2028406,0,1,1,2028002,2028002,10000,"{330,330}",100
2029,{},2,{0},{900},7000,2700,1000,0,Char/2029_tpose,2029_tpose,{2029101},{2029201},{},{},500,15,0,500,15,0,100,1,0,2500,1,2,"{2029311,2029320}",2029325,2029001,2029001,2029001,2029001,2029001,2029001,2029002,2029001,120,2029350,2029351,2029323,2029323,2029323,2029406,0,1,0,2029002,2029002,10000,"{330,330}",100
3001,{},2,{0},{800},7000,2700,1000,0,Char/3001_tpose,3001_tpose,{3001101},"{3001201,3001202}",{3001411},{},1000,30,0,1000,30,0,100,1,1,3500,1,2,"{3001311,3001311}",3001311,3001312,3001314,3001313,3001317,3001315,3001319,3001002,3001001,120,3001350,3001351,3001304,3001304,3001316,3001411,0,1,1,3001002,3001310,10000,"{334,334}",100
3002,{},2,{0},{500},7000,2700,1000,0,Char/3002_tpose,3002_tpose,{3002101},"{3002201,3002202}",{},"{3002305,3002305}",1000,30,0,1000,30,0,100,1,0,5500,1,2,"{3002311,3002311}",3002311,3002312,3002314,3002313,3002316,3002315,3002319,3002002,3002001,120,3002350,3002351,3002304,3002304,3002316,3002401,0,1,1,3002002,3002310,10000,"{10000,10000}",100
3004,{},1,{0},{500},7000,2700,1000,0,Char/3004_tpose,3004_tpose,{3004101},{3004201},{},{},1000,30,0,1000,30,0,100,1,0,7000,1,2,"{3004311,3004311}",3004311,3004312,3004314,3004313,3004317,3004315,3004319,3004002,3004001,120,3004350,3004351,3004304,3004323,3004324,3004406,0,1,1,3004002,3004310,10000,"{267,267}",100
3005,{},3,{0},{750},7000,2700,1000,0,Char/3005_tpose,3005_tpose,{3005101},"{3005201,3005202}",{},{},1000,30,0,1000,30,0,100,1,1,7000,1,2,"{3005311,3005320}",3005325,3005312,3005314,3005313,3005317,3005315,3005319,3005002,3005001,120,3005350,3005351,3005304,3005323,3005324,3005401,0,1,1,3005001,3005001,10000,"{297,297}",100
3006,{},3,{0},{900},7000,2700,1000,0,Char/3006_tpose,3006_tpose,{3006101},"{3006201,3006202,3006204}",{},{},1000,30,0,1000,30,0,100,1,1,2500,1,2,"{3006311,3006311}",3006311,3006311,3006311,3006311,3006311,3006311,3006311,3006002,3006001,120,3006351,3006350,3006304,3006304,3006311,3006406,0,1,0,3006002,3006310,10000,"{400,400}",100
3008,{},1,{0},{500},7000,2700,1000,0,Char/3008_tpose,3008_tpose,"{3008101,3008102}","{3008201,3008202,3008203}",{3008411},{},1000,30,0,1000,30,0,100,1,1,7000,1,2,"{3008311,3008320}",3008325,3008312,3008314,3008313,3008317,3008315,3008319,3008002,3008001,120,3008002,3008002,3008304,3008323,3008324,3008406,0,1,1,3008002,3008001,10000,"{165,264}",100
3009,{},1,{0},{500},7000,2700,1000,0,Char/3009_tpose,3009_tpose,{3009101},"{3009201,3009202,3009203}",{3009411},{},1000,30,0,1000,30,0,100,1,0,7000,1,2,"{3009311,3009311}",3009311,3009312,3009314,3009313,3009317,3009315,3009319,3009002,3009001,120,3009002,3009002,3009304,3009304,3009324,3009406,0,1,1,3009002,3009001,10000,"{330,300}",100
3501,{},3,{0},{500},7000,2700,1000,0,Char/3501_tpose,3501_tpose,{3501101},{3501201},{},{},1000,30,0,1000,30,0,100,1,0,0,1,2,{3501001},3501001,3501001,3501001,3501001,3501001,3501001,3501001,3501001,3501001,10000,3501001,3501001,3501001,3501001,3501001,3501001,0,0,0,3501001,3501001,10000,"{0,0}",0
4010,{},1,{0},{500},7000,2700,1000,0,Char/4010_tpose,4010_tpose,"{4010101,4010102,4010103}","{4010201,4010202,4010203,4010212,4010213}",{},{},1000,30,0,1000,30,0,100,1,1,3500,1,2,"{4010311,4010320}",4010320,4010312,4010314,4010313,4010317,4010315,4010319,4010002,4010001,120,4010002,4010002,4010304,4010304,4010304,4010401,0,1,1,4010002,4010001,10000,"{330,300}",100
4011,{},1,{0},{500},7000,2700,1000,0,Char/4011_tpose,4011_tpose,"{4011101,4011102,4011103}","{4011201,4011202,4011203,4011204}",{4011411},{},1000,30,0,1000,30,0,100,1,0,2700,1,2,"{4011311,4011320}",4011320,4011312,4011314,4011313,4011317,4011315,4011319,4011002,4011001,120,4011002,4011002,4011304,4011304,4011304,4011401,0,1,1,4011002,4011001,10000,"{330,300}",100
4012,{},3,"{0,1,2}","{3000,2598,2598}",17000,5700,2000,0,Char/4012_tpose,4012_tpose,"{4012101,4012102}","{4012201,4012202,4012232}",{},{4012305},1000,30,0,1000,30,0,100,1,1,2700,1,2,"{4012001,4012001}",4012001,4012001,4012001,4012001,4012001,4012001,4012001,4012002,4012001,120,4012002,4012002,4012304,4012001,4012001,4012001,0,1,1,4012307,4012310,120,"{330,300}",100
300101,{},1,{0},{1000},7000,2700,1000,0,Char/3001_tpose,3001_tpose,{3001201},{},{3001411},{},5000,30,0,5000,30,0,100,1,0,8000,1,0,"{3001311,3001311}",3001311,3001312,0,0,0,0,0,0,3001001,12000,0,0,3001304,3001304,3001316,3001411,0,1,1,300101307,300101310,10000,"{10000,10000}",100
