id,hero_astrolabe_suit_id,name,icon,unlock,unlock_gold,ability,desc,pos
26,5,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",125,"{{1,500},{4,30},{5,60}}",几句传说片段,2
27,5,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",126,"{{1,500},{4,30},{5,60}}",几句传说片段,3
28,5,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",127,"{{1,500},{4,30},{5,60}}",几句传说片段,4
29,5,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",128,"{{1,500},{4,30},{5,60}}",几句传说片段,5
30,5,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",129,"{{1,500},{4,30},{5,60}}",几句传说片段,6
31,6,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",130,"{{1,500},{4,30},{5,60}}",几句传说片段,1
32,6,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",131,"{{1,500},{4,30},{5,60}}",几句传说片段,2
33,6,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",132,"{{1,500},{4,30},{5,60}}",几句传说片段,3
34,6,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",133,"{{1,500},{4,30},{5,60}}",几句传说片段,4
35,6,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",134,"{{1,500},{4,30},{5,60}}",几句传说片段,5
36,6,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",135,"{{1,500},{4,30},{5,60}}",几句传说片段,6
37,7,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",136,"{{1,500},{4,30},{5,60}}",几句传说片段,1
38,7,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",137,"{{1,500},{4,30},{5,60}}",几句传说片段,2
39,7,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",138,"{{1,500},{4,30},{5,60}}",几句传说片段,3
40,7,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",139,"{{1,500},{4,30},{5,60}}",几句传说片段,4
41,7,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",140,"{{1,500},{4,30},{5,60}}",几句传说片段,5
42,7,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",141,"{{1,500},{4,30},{5,60}}",几句传说片段,6
43,8,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",142,"{{1,500},{4,30},{5,60}}",几句传说片段,1
44,8,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",143,"{{1,500},{4,30},{5,60}}",几句传说片段,2
45,8,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",144,"{{1,500},{4,30},{5,60}}",几句传说片段,3
46,8,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",145,"{{1,500},{4,30},{5,60}}",几句传说片段,4
47,8,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",146,"{{1,500},{4,30},{5,60}}",几句传说片段,5
48,8,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",147,"{{1,500},{4,30},{5,60}}",几句传说片段,6
49,9,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",148,"{{1,500},{4,30},{5,60}}",几句传说片段,1
50,9,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",149,"{{1,500},{4,30},{5,60}}",几句传说片段,2
51,9,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",150,"{{1,500},{4,30},{5,60}}",几句传说片段,3
52,9,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",151,"{{1,500},{4,30},{5,60}}",几句传说片段,4
53,9,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",152,"{{1,500},{4,30},{5,60}}",几句传说片段,5
54,9,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",153,"{{1,500},{4,30},{5,60}}",几句传说片段,6
55,10,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",154,"{{1,500},{4,30},{5,60}}",几句传说片段,1
56,10,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",155,"{{1,500},{4,30},{5,60}}",几句传说片段,2
57,10,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",156,"{{1,500},{4,30},{5,60}}",几句传说片段,3
58,10,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",157,"{{1,500},{4,30},{5,60}}",几句传说片段,4
59,10,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",158,"{{1,500},{4,30},{5,60}}",几句传说片段,5
60,10,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",159,"{{1,500},{4,30},{5,60}}",几句传说片段,6
61,11,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",160,"{{1,500},{4,30},{5,60}}",几句传说片段,1
62,11,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",161,"{{1,500},{4,30},{5,60}}",几句传说片段,2
63,11,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",162,"{{1,500},{4,30},{5,60}}",几句传说片段,3
64,11,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",163,"{{1,500},{4,30},{5,60}}",几句传说片段,4
65,11,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",164,"{{1,500},{4,30},{5,60}}",几句传说片段,5
66,11,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",165,"{{1,500},{4,30},{5,60}}",几句传说片段,6
67,12,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",166,"{{1,500},{4,30},{5,60}}",几句传说片段,1
68,12,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",167,"{{1,500},{4,30},{5,60}}",几句传说片段,2
69,12,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",168,"{{1,500},{4,30},{5,60}}",几句传说片段,3
70,12,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",169,"{{1,500},{4,30},{5,60}}",几句传说片段,4
71,12,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",170,"{{1,500},{4,30},{5,60}}",几句传说片段,5
72,12,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",171,"{{1,500},{4,30},{5,60}}",几句传说片段,6
73,13,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",172,"{{1,500},{4,30},{5,60}}",几句传说片段,1
74,13,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",173,"{{1,500},{4,30},{5,60}}",几句传说片段,2
75,13,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",174,"{{1,500},{4,30},{5,60}}",几句传说片段,3
76,13,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",175,"{{1,500},{4,30},{5,60}}",几句传说片段,4
77,13,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",176,"{{1,500},{4,30},{5,60}}",几句传说片段,5
78,13,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",177,"{{1,500},{4,30},{5,60}}",几句传说片段,6
79,14,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",178,"{{1,500},{4,30},{5,60}}",几句传说片段,1
80,14,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",179,"{{1,500},{4,30},{5,60}}",几句传说片段,2
81,14,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",180,"{{1,500},{4,30},{5,60}}",几句传说片段,3
82,14,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",181,"{{1,500},{4,30},{5,60}}",几句传说片段,4
83,14,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",182,"{{1,500},{4,30},{5,60}}",几句传说片段,5
84,14,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",183,"{{1,500},{4,30},{5,60}}",几句传说片段,6
85,15,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",184,"{{1,500},{4,30},{5,60}}",几句传说片段,1
86,15,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",185,"{{1,500},{4,30},{5,60}}",几句传说片段,2
87,15,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",186,"{{1,500},{4,30},{5,60}}",几句传说片段,3
88,15,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",187,"{{1,500},{4,30},{5,60}}",几句传说片段,4
89,15,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",188,"{{1,500},{4,30},{5,60}}",几句传说片段,5
90,15,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",189,"{{1,500},{4,30},{5,60}}",几句传说片段,6
91,16,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",190,"{{1,500},{4,30},{5,60}}",几句传说片段,1
92,16,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",191,"{{1,500},{4,30},{5,60}}",几句传说片段,2
93,16,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",192,"{{1,500},{4,30},{5,60}}",几句传说片段,3
94,16,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",193,"{{1,500},{4,30},{5,60}}",几句传说片段,4
95,16,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",194,"{{1,500},{4,30},{5,60}}",几句传说片段,5
96,16,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",195,"{{1,500},{4,30},{5,60}}",几句传说片段,6
97,17,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",196,"{{1,500},{4,30},{5,60}}",几句传说片段,1
98,17,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",197,"{{1,500},{4,30},{5,60}}",几句传说片段,2
99,17,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",198,"{{1,500},{4,30},{5,60}}",几句传说片段,3
100,17,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",199,"{{1,500},{4,30},{5,60}}",几句传说片段,4
101,17,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",200,"{{1,500},{4,30},{5,60}}",几句传说片段,5
102,17,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",201,"{{1,500},{4,30},{5,60}}",几句传说片段,6
